Endereço,Proprietário,Titular,CPF,Instalação,Proprietário Mascarado,Titular Mascarado,CPF Mascarado,Status de Conformidade
"Avenida Principal, 137",Theo Teixeira Nunes,Lívia Freitas Carvalho,506.123.456-66,3099113355,Theo T******* N****,Lívia F****** C*******,506.***.***-66,Anonimizado
"Avenida Principal, 148",Lívia Carvalho Freitas,Lorenzo Dias Morais,617.234.567-77,3022446688,Lívia C******* F******,Lorenzo D*** M*****,617.***.***-77,Anonimizado
"Avenida Principal, 104",Mariana Teles Nogueira,Ricardo Gomes Costa,142.567.891-22,3077991133,Mariana T**** N*******,Ricardo G**** C****,142.***.***-22,Anonimizado
"Avenida Principal, 115",Ricardo Costa Gomes,Laura Almeida Faria,253.678.902-33,3000224466,Ricardo C**** G****,Laura A****** F****,253.***.***-33,Anonimizado
"Avenida Principal, 126",Laura Faria Almeida,Thiago Ribeiro Melo,364.789.013-44,3033557799,Laura F**** A******,Thiago R****** M***,364.***.***-44,Anonimizado
"Avenida Principal, 159",Lorenzo Morais Dias,Valentina Rocha Pinho,728.345.678-88,3055779911,Lorenzo M***** D***,Valentina R**** P****,728.***.***-88,Anonimizado
"Avenida Principal, 170",Valentina Pinho Rocha,Felipe Alves Campos,839.456.789-99,3088002244,Valentina P**** R****,Felipe A**** C*****,839.***.***-99,Anonimizado
"Avenida Principal, 181",Felipe Campos Alves,Giovanna Ribeiro Neta,940.567.890-00,3011335577,Felipe C***** A****,Giovanna R****** N***,940.***.***-00,Anonimizado
"Avenida Principal, 71",Diego Silva Freitas,Isabella Morais Pires,809.123.567-98,3088002244,Diego S**** F******,Isabella M***** P****,809.***.***-98,Anonimizado
"Avenida Principal, 82",Isabella Pires Morais,Guilherme Rocha Brito,910.234.678-09,3011335577,Isabella P**** M*****,Guilherme R**** B****,910.***.***-09,Anonimizado
"Avenida Principal, 93",Guilherme Brito Rocha,Mariana Nogueira Teles,031.456.780-11,3044668800,Guilherme B**** R****,Mariana N******* T****,031.***.***-11,Anonimizado
"Praça do Lago, 101",Rafael Mello Borges,Patrícia Dias Nogueira,243.567.901-32,3007418529,Rafael M**** B*****,Patrícia D*** N*******,243.***.***-32,Anonimizado
"Praça do Lago, 1010",Benício Barros Lima,Elisa Gomes Pires,384.901.234-44,3033557799,Benício B***** L***,Elisa G**** P****,384.***.***-44,Anonimizado
"Praça do Lago, 1111",Elisa Pires Gomes,Theo Nunes Teixeira,495.012.345-55,3066880022,Elisa P**** G****,Theo N**** T*******,495.***.***-55,Anonimizado
"Praça do Lago, 202",Patrícia Nogueira Dias,Eduardo Campos Abreu,354.678.012-43,3033557799,Patrícia N******* D***,Eduardo C***** A****,354.***.***-43,Anonimizado
"Praça do Lago, 303",Eduardo Abreu Campos,Sofia Ramos Guimarães,465.789.123-54,3066880022,Eduardo A**** C*****,Sofia R**** G********,465.***.***-54,Anonimizado
"Praça do Lago, 404",Sofia Guimarães Ramos,Matheus Lins Oliveira,576.890.234-65,3099113355,Sofia G******** R****,Matheus L*** O*******,576.***.***-65,Anonimizado
"Praça do Lago, 505",Matheus Oliveira Lins,Amanda Vieira Castro,687.901.345-76,3022446688,Matheus O******* L***,Amanda V***** C*****,687.***.***-76,Anonimizado
"Praça do Lago, 606",Amanda Castro Vieira,Diego Freitas Silva,798.012.456-87,3055779911,Amanda C***** V*****,Diego F****** S****,798.***.***-87,Anonimizado
"Praça do Lago, 707",Marina Costa Oliveira,Caio Ferreira Almeida,051.678.901-11,3044668800,Marina C**** O*******,Caio F******* A******,051.***.***-11,Anonimizado
"Praça do Lago, 808",Caio Almeida Ferreira,Nicole Souza Ribeiro,162.789.012-22,3077991133,Caio A****** F*******,Nicole S**** R******,162.***.***-22,Anonimizado
"Praça do Lago, 909",Nicole Ribeiro Souza,Benício Lima Barros,273.890.123-33,3000224466,Nicole R****** S****,Benício L*** B*****,273.***.***-33,Anonimizado
"Praça Francisco Rubim, 100",Samuel Dias Pereira,Helena Alves Martins,718.234.668-88,3055779911,Samuel D*** P******,Helena A**** M******,718.***.***-88,Anonimizado
"Praça Francisco Rubim, 111",Helena Martins Alves,João Pedro Lima Santos,829.345.779-99,3088002244,Helena M****** A****,João P**** L*** S*****,829.***.***-99,Anonimizado
"Praça Francisco Rubim, 12",Gabriel Reis Pereira,Camila Duarte Mendes,678.901.234-56,3015937468,Gabriel R*** P******,Camila D***** M*****,678.***.***-56,Anonimizado
"Praça Francisco Rubim, 122",João Pedro Santos Lima,Marina Oliveira Costa,930.456.880-00,3011335577,João P**** S***** L***,Marina O******* C****,930.***.***-00,Anonimizado
"Praça Francisco Rubim, 23",Camila Mendes Duarte,Rodrigo Sampaio Vieira,789.012.345-67,3064208573,Camila M***** D*****,Rodrigo S****** V*****,789.***.***-67,Anonimizado
"Praça Francisco Rubim, 34",Rodrigo Vieira Sampaio,Ana Lúcia Azevedo,890.123.456-78,3095173062,Rodrigo V***** S******,Ana L**** A******,890.***.***-78,Anonimizado
"Praça Francisco Rubim, 45",Ana Lúcia Azevedo,Juliana Nunes Guedes,901.234.567-89,3048026195,Ana L**** A******,Juliana N**** G*****,901.***.***-89,Anonimizado
"Praça Francisco Rubim, 56",Juliana Guedes Nunes,Bruno Teixeira Lima,021.345.789-10,3071392586,Juliana G***** N****,Bruno T******* L***,021.***.***-10,Anonimizado
"Praça Francisco Rubim, 67",Bruno Lima Teixeira,Rafael Borges Mello,132.456.890-21,3058291047,Bruno L*** T*******,Rafael B***** M****,132.***.***-21,Anonimizado
"Praça Francisco Rubim, 78",Isabela Lima Costa,Júlia Rocha Ferreira,596.012.446-66,3099113355,Isabela L*** C****,Júlia R**** F*******,596.***.***-66,Anonimizado
"Praça Francisco Rubim, 89",Júlia Ferreira Rocha,Samuel Pereira Dias,607.123.557-77,3022446688,Júlia F******* R****,Samuel P****** D***,607.***.***-77,Anonimizado
"Rua Américo Prado, 105",Ana Cristina Silva,Carlos Eduardo Mendes,012.345.678-90,3012345678,Ana C******* S****,Carlos E****** M*****,012.***.***-90,Anonimizado
"Rua Américo Prado, 190",Davi Silva Martins,Bernardo Alves Pires,263.789.113-33,3000224466,Davi S**** M******,Bernardo A**** P****,263.***.***-33,Anonimizado
"Rua Américo Prado, 201",Bernardo Pires Alves,Luiza Gomes Mendes,374.890.224-44,3033557799,Bernardo P**** A****,Luiza G**** M*****,374.***.***-44,Anonimizado
"Rua Américo Prado, 22",João Paulo Nogueira,Maria da Penha Santos,123.456.789-01,3098765432,João P**** N*******,Maria d* P**** S*****,123.***.***-01,Anonimizado
"Rua Américo Prado, 312",Luiza Mendes Gomes,Isabela Costa Lima,485.901.335-55,3066880022,Luiza M***** G****,Isabela C**** L***,485.***.***-55,Anonimizado
"Rua Américo Prado, 345",Maria Eduarda Souza,Pedro Henrique Alves,234.567.890-12,3024680135,Maria E****** S****,Pedro H******* A****,234.***.***-12,Anonimizado
"Rua Américo Prado, 45",Pedro Lucas Ferreira,Fernanda Lima Costa,345.678.901-23,3079135790,Pedro L**** F*******,Fernanda L*** C****,345.***.***-23,Anonimizado
"Rua Américo Prado, 560",Lucas Gabriel Rocha,Lucas Gabriel Rocha,456.789.012-34,3036925814,Lucas G****** R****,Lucas G****** R****,456.***.***-34,Anonimizado
"Rua Américo Prado, 67",Fernanda Costa Lima,Gabriel Pereira Reis,567.890.123-45,3085204719,Fernanda C**** L***,Gabriel P****** R***,567.***.***-45,Anonimizado
"Rua Américo Prado, 78",Gael Rocha Teixeira,Alice Fonseca Mota,041.567.891-11,3044668800,Gael R**** T*******,Alice F****** M***,041.***.***-11,Anonimizado
"Rua Américo Prado, 89",Alice Mota Fonseca,Davi Martins Silva,152.678.002-22,3077991133,Alice M*** F******,Davi M****** S****,152.***.***-22,Anonimizado
"Rua Jacutinga, 1",Thiago Melo Ribeiro,Helena Sales Xavier,475.890.124-55,3066880022,Thiago M*** R******,Helena S**** X*****,475.***.***-55,Anonimizado
"Rua Jacutinga, 11",Helena Xavier Sales,Miguel Castro Dias,586.901.235-66,3099113355,Helena X***** S****,Miguel C***** D***,586.***.***-66,Anonimizado
"Rua Jacutinga, 21",Miguel Dias Castro,Sofia Lemos Brito,697.012.346-77,3022446688,Miguel D*** C*****,Sofia L**** B****,697.***.***-77,Anonimizado
"Rua Jacutinga, 31",Sofia Brito Lemos,Enzo Carvalho Reis,708.123.457-88,3055779911,Sofia B**** L****,Enzo C******* R***,708.***.***-88,Anonimizado
"Rua Jacutinga, 41",Enzo Reis Carvalho,Manuela Santos Cunha,819.234.568-99,3088002244,Enzo R*** C*******,Manuela S***** C****,819.***.***-99,Anonimizado
"Rua Jacutinga, 51",Manuela Cunha Santos,Gael Teixeira Rocha,920.345.679-00,3011335577,Manuela C**** S*****,Gael T******* R****,920.***.***-00,Anonimizado
